Threads,SharedHashTable,RootSplitting,MPI,Hybrid
1,1.0,1.0,1.0,1.0
2,0.95,0.9,0.85,0.975
4,0.95,0.875,0.85,0.975
6,0.9166666666666666,0.8333333333333334,0.7999999999999999,0.9666666666666667
8,0.9,0.7625,0.75,0.975
